date,count
2020-04-12,205
2020-07-25,203
2020-11-10,385
2020-05-30,187
2020-10-29,231
2020-08-13,224
2020-08-14,208
,5582
2020-11-02,230
2020-11-05,246
2020-01-30,265
2020-09-02,173
2020-01-31,274
2020-06-15,305
2020-10-08,230
2020-10-26,185
2020-03-22,253
2020-02-11,283
2020-03-01,207
2020-04-11,207
2020-09-22,212
2020-03-29,188
2020-07-19,329
2020-10-31,240
2020-07-04,215
2020-03-23,257
2020-06-18,226
2020-08-15,240
2020-07-15,280
2020-07-05,334
2020-04-07,274
2020-12-19,215
2020-09-11,244
2020-09-14,286
2020-03-16,291
2020-05-16,267
2020-03-02,283
2020-06-26,274
2020-05-15,263
2020-09-29,150
2020-03-25,317
2020-12-08,323
2020-11-24,201
2020-08-19,271
2020-08-23,271
2020-05-07,321
2020-04-26,192
2020-03-12,199
2020-01-11,229
2020-07-24,248
2020-11-20,190
2020-02-29,253
2020-07-08,317
2020-05-12,267
2020-11-13,255
2020-12-10,283
2020-10-03,207
2020-09-05,285
2020-12-26,117
2020-10-13,216
2020-08-01,204
2020-06-29,245
2020-04-13,266
2020-01-05,225
2020-02-13,217
2020-01-12,223
2020-11-17,252
2020-10-05,178
2020-03-04,252
2020-11-25,345
2020-11-26,237
2020-01-19,274
2020-09-23,300
2020-01-17,193
2020-05-05,256
2020-11-07,211
2020-04-04,245
2020-09-26,224
2020-07-16,194
2020-06-03,234
2020-01-07,184
2020-07-09,223
2020-02-18,188
2020-09-08,245
2020-02-15,221
2020-02-26,195
2020-01-03,217
2020-11-15,225
2020-04-25,233
2020-02-25,233
2020-02-22,240
2020-05-18,189
2020-01-28,205
2020-10-27,206
2020-07-01,216
2020-12-09,224
2020-01-24,276
2020-08-16,307
2020-09-17,303
2020-02-14,211
2020-07-27,192
2020-07-11,149
2020-09-04,274
2020-06-05,309
2020-01-13,194
2020-07-06,320
2020-11-21,193
2020-10-25,333
2020-06-24,198
2020-06-09,148
2020-08-25,228
2020-02-05,246
2020-11-23,265
2020-05-26,227
2020-12-02,284
2020-06-07,240
2020-04-17,244
2020-11-16,200
2020-08-17,260
2020-08-20,188
2020-07-23,236
2020-01-04,189
2020-09-18,277
2020-03-08,263
2020-02-24,206
2020-05-27,237
2020-03-18,209
2020-06-04,168
2020-02-12,198
2020-04-05,285
2020-04-22,241
2020-05-13,157
2020-06-28,204
2020-10-21,146
2020-01-18,168
2020-03-10,226
2020-01-29,332
2020-08-09,308
2020-10-17,192
2020-08-21,227
2020-04-06,216
2020-10-10,292
2020-09-09,249
2020-03-15,173
2020-10-19,217
2020-08-18,290
2020-07-02,281
2020-04-19,215
2020-10-04,162
2020-10-15,255
2020-05-09,219
2020-02-03,335
2020-06-11,237
2020-01-27,307
2020-05-08,274
2020-12-20,331
2020-04-08,232
2020-03-28,245
2020-05-21,256
2020-12-21,235
2020-01-26,295
2020-05-24,265
2020-01-25,289
2020-01-08,214
2020-09-10,244
2020-06-22,241
2020-12-15,161
2020-05-03,249
2020-11-11,232
2020-10-06,184
2020-05-25,248
2020-11-06,201
2020-09-28,229
2020-03-07,227
2020-12-11,204
2020-11-09,214
2020-03-14,256
2020-11-14,254
2020-04-28,288
2020-12-22,227
2020-05-11,176
2020-07-28,243
2020-08-22,345
2020-09-21,308
2020-04-15,166
2020-08-02,303
2020-08-10,204
2020-05-04,216
2020-06-25,241
2020-07-13,260
2020-04-29,295
2020-04-02,209
2020-11-01,232
2020-12-25,203
2020-01-01,124
2020-12-16,188
2020-08-29,285
2020-11-08,273
2020-04-21,211
2020-09-13,186
2020-12-07,209
2020-05-28,127
2020-04-27,240
2020-09-03,251
2020-03-13,278
2020-08-24,242
2020-12-13,276
2020-06-19,215
2020-09-15,266
2020-02-06,230
2020-09-07,276
2020-03-03,302
2020-02-20,214
2020-07-31,266
2020-08-08,168
2020-05-02,185
2020-11-18,221
2020-08-12,266
2020-06-30,236
2020-12-18,249
2020-08-31,204
2020-09-12,182
2020-12-17,199
2020-08-06,139
2020-06-12,243
2020-11-19,183
2020-11-03,262
2020-04-18,246
2020-10-30,286
2020-12-06,253
2020-01-14,240
2020-01-21,180
2020-04-20,298
2020-01-22,185
2020-04-23,277
2020-01-10,199
2020-09-25,318
2020-06-01,169
2020-06-21,223
2020-07-07,270
2020-07-22,289
2020-09-30,296
2020-09-24,281
2020-07-29,241
2020-03-30,170
2020-02-02,157
2020-04-09,240
2020-10-07,241
2020-10-01,224
2020-08-27,212
2020-02-23,156
2020-06-10,211
2020-08-03,221
2020-10-20,214
2020-09-16,176
2020-02-08,139
2020-12-14,161
2020-07-26,322
2020-08-26,222
2020-02-16,146
2020-07-18,169
2020-01-06,306
2020-12-12,278
2020-03-26,144
2020-12-01,185
2020-06-23,194
2020-09-01,247
2020-01-20,165
2020-03-11,147
2020-10-11,194
2020-10-02,176
2020-05-17,179
2020-03-17,289
2020-05-20,137
2020-05-23,198
2020-06-13,202
2020-05-19,283
2020-02-21,198
2020-05-29,168
2020-08-30,199
2020-07-10,217
2020-11-12,288
2020-01-16,189
2020-06-16,186
2020-03-20,264
2020-08-04,183
2020-07-14,266
2020-09-27,212
2020-02-07,183
2020-10-16,275
2020-12-03,222
2020-02-04,159
2020-04-30,241
2020-11-27,165
2020-10-12,179
2020-12-04,173
2020-04-01,204
2020-07-21,158
2020-05-14,252
2020-09-06,238
2020-07-12,256
2020-10-28,231
2020-09-19,180
2020-08-28,285
2020-03-31,233
2020-10-14,191
2020-06-27,233
2020-03-05,211
2020-12-23,228
2020-07-30,306
2020-03-09,297
2020-06-06,238
2020-12-24,185
2020-03-27,145
2020-03-19,87
2020-11-30,237
2020-03-21,217
2020-06-08,217
